gene_id	color
1553336_a_at	cyan
1553338_at	yellow
1553340_s_at	turquoise
1553341_at	green
1553344_at	grey
1553346_a_at	grey
1553347_s_at	blue
1553348_a_at	yellow
1553349_at	red
1553350_at	turquoise
1553351_at	grey
1553352_x_at	tan
1553354_a_at	grey
1553355_at	turquoise
1553356_at	grey
1553357_at	turquoise
1553359_at	turquoise
1553361_x_at	turquoise
1553362_at	grey
1553363_at	green
1553364_at	grey
1553365_at	grey
1553366_s_at	turquoise
1553367_a_at	turquoise
1553369_at	turquoise
1553371_at	turquoise
1553372_at	turquoise
1553373_at	grey
1553374_at	green
1553375_at	yellow
1553376_a_at	grey
1553378_a_at	turquoise
1553380_at	brown
1553383_at	turquoise
1553385_at	turquoise
1553386_at	brown
1553387_at	yellow
1553388_at	turquoise
1553389_at	yellow
1553390_at	turquoise
1553391_at	grey
1553392_at	grey
1553394_a_at	turquoise
1553395_a_at	blue
1553396_a_at	yellow
1553397_at	turquoise
1553398_at	grey
1553399_a_at	yellow
1553400_a_at	grey
1553401_at	grey
1553402_a_at	grey
1553403_at	turquoise
1553405_a_at	turquoise
1553407_at	yellow
1553409_at	turquoise
1553410_a_at	turquoise
1553411_s_at	turquoise
1553412_at	green
1553413_at	turquoise
1553415_at	blue
1553417_at	turquoise
1553418_a_at	grey
1553420_at	brown
1553422_s_at	yellow
1553423_a_at	grey
1553424_at	turquoise
1553425_at	turquoise
1553426_at	turquoise
1553427_at	turquoise
1553428_at	grey
1553429_at	turquoise
1553430_a_at	turquoise
1553432_s_at	darkturquoise
1553433_at	grey
1553434_at	grey
1553435_at	turquoise
1553436_at	tan
1553437_at	turquoise
1553438_at	turquoise
1553439_at	turquoise
1553440_at	lightgreen
1553441_at	grey
1553442_a_at	turquoise
1553443_at	turquoise
1553444_a_at	turquoise
1553446_at	tan
1553447_at	grey
1553448_at	grey
1553449_at	turquoise
1553450_s_at	turquoise
1553451_at	turquoise
1553452_at	grey
1553453_at	turquoise
1553454_at	turquoise
1553456_at	turquoise
1553457_at	turquoise
1553458_at	blue
1553459_at	turquoise
1553460_at	grey
1553461_at	grey
1553462_at	cyan
1553464_at	turquoise
1553465_a_at	black
1553466_at	turquoise
1553467_at	grey
1553468_at	grey
1553470_at	green
1553471_at	grey
1553472_at	turquoise
1553474_at	turquoise
1553475_at	turquoise
1553478_at	turquoise
1553479_at	turquoise
1553482_at	turquoise
1553483_at	turquoise
1553484_at	grey
1553485_at	turquoise
1553486_a_at	darkred
1553488_at	green
1553489_a_at	green
1553491_at	turquoise
1553492_a_at	turquoise
1553493_a_at	grey
1553494_at	turquoise
1553497_at	grey
1553498_at	grey
1553499_s_at	magenta
1553500_at	turquoise
1553502_a_at	turquoise
1553504_at	black
1553505_at	turquoise
1553506_at	turquoise
1553507_a_at	turquoise
1553508_at	brown
1553510_s_at	blue
1553511_at	turquoise
1553512_at	turquoise
1553513_at	turquoise
1553514_a_at	black
1553515_at	turquoise
1553517_at	turquoise
1553518_at	turquoise
1553519_at	grey
1553521_at	turquoise
1553523_at	pink
1553524_at	turquoise
1553525_at	turquoise
1553526_at	turquoise
1553527_at	turquoise
1553528_a_at	turquoise
1553529_at	grey
1553530_a_at	yellow
1553531_at	turquoise
1553532_a_at	turquoise
1553533_at	blue
1553534_at	turquoise
1553535_a_at	blue
1553536_at	yellow
1553537_at	turquoise
1553538_s_at	blue
1553539_at	turquoise
1553540_a_at	cyan
1553541_at	turquoise
1553542_at	yellow
1553544_at	turquoise
1553545_at	yellow
1553546_at	grey
1553547_at	grey
1553549_at	turquoise
1553550_at	grey
1553551_s_at	blue
1553552_at	green
1553553_at	grey
1553555_at	darkmagenta
1553556_at	magenta
1553558_at	blue
1553559_at	brown
1553560_at	grey
1553561_at	grey
1553562_at	turquoise
1553564_at	red
1553565_s_at	yellow
1553566_at	turquoise
1553567_s_at	blue
1553568_a_at	turquoise
1553569_at	blue
1553570_x_at	blue
1553572_a_at	blue
1553573_s_at	turquoise
1553574_at	grey
1553575_at	lightyellow
1553579_a_at	brown
1553581_s_at	grey60
1553582_a_at	turquoise
1553583_a_at	turquoise
1553584_at	turquoise
1553585_a_at	turquoise
1553586_at	turquoise
1553587_a_at	blue
1553588_at	blue
1553589_a_at	blue
1553590_at	turquoise
1553591_at	turquoise
1553592_x_at	turquoise
1553593_a_at	turquoise
1553594_a_at	turquoise
1553599_a_at	green
1553600_at	yellow
1553601_a_at	turquoise
1553602_at	brown
1553603_s_at	yellow
1553604_at	grey
1553605_a_at	grey
1553607_at	green
1553608_a_at	turquoise
1553611_s_at	brown
1553612_at	darkturquoise
1553613_s_at	turquoise
1553614_a_at	grey
1553618_at	green
1553619_a_at	turquoise
1553620_at	turquoise
1553622_a_at	blue
1553623_at	turquoise
1553625_at	brown
1553626_a_at	turquoise
1553627_s_at	grey
1553629_a_at	turquoise
1553630_at	turquoise
1553633_s_at	yellow
1553634_a_at	turquoise
1553635_s_at	grey
1553636_at	grey
1553637_s_at	turquoise
1553639_a_at	blue
1553640_at	turquoise
1553641_a_at	turquoise
1553642_at	turquoise
1553644_at	turquoise
1553645_at	grey
1553646_at	grey
1553647_at	grey
1553651_at	blue
1553652_a_at	turquoise
1553654_at	grey
1553655_at	black
1553656_at	turquoise
1553657_at	turquoise
1553658_at	turquoise
1553660_at	turquoise
1553661_a_at	grey
1553663_a_at	turquoise
1553666_at	red
1553668_at	red
1553670_at	grey
1553672_at	blue
1553673_at	black
1553674_at	grey
1553675_at	black
1553677_a_at	green
1553678_a_at	yellow
1553679_s_at	yellow
1553681_a_at	brown
